number,alpha,common,band_size,scientific,T & E*,Comments,taxonomic_order
1141,BFBO,Blue-footed Booby,"7B, 7, 7A",Sula nebouxii,,,197
7510,BGGN,Blue-gray Gnatcatcher,0A,Polioptila caerulea,,,812
792,BGNO,Blue-gray Noddy,"2, 1D, 2A",Anous ceruleus,,,435
6290,BHVI,Blue-headed Vireo,"1C, 1, 0",Vireo solitarius,,AOU split from 6299-SOVI in 1998.,722
4270,BTMG,Blue-throated Mountain-gem,X,Lampornis clemenciae,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",554
1400,BWTE,Blue-winged Teal,"5, 4A",Spatula discors,,,54
6410,BWWA,Blue-winged Warbler,"0A, 0",Vermivora cyanoptera,,,928
7640,BLUE,Bluethroat,"1, 1C",Cyanecula svecica,,,843
5130,BTGR,Boat-tailed Grackle,"M: 4, 3A
F: 3, 3B",Quiscalus major,,,1121
4940,BOBO,Bobolink,"M: 1A, 1B
F: 1B, 1A",Dolichonyx oryzivorus,"Alberta
British Columbia
Manitoba
New Brunswick
Newfoundland and Labrador
Nova Scotia
Ontario
Prince Edward Island
Québec
Saskatchewan",,1108
6180,BOWA,Bohemian Waxwing,1A,Bombycilla garrulus,,,911
600,BOGU,Bonaparte's Gull,"3, 3B",Chroicocephalus philadelphia,,,406
991,BOPE,Bonin Petrel,"3, 3B, 2A",Pterodroma hypoleuca,,,152
7400,BOCH,Boreal Chickadee,"0, 0A, 1C, 1",Poecile hudsonicus,,,781
3710,BOOW,Boreal Owl,"5, 6",Aegolius funereus,,Lock-on bands recommended.,526
5760,BOSP,Botteri's Sparrow,"1, 1C",Peucaea botterii,,,1030
5141,BRAM,Brambling,"1B, 1, 1C",Fringilla montifringilla,,,1146
1220,BRAC,Brandt's Cormorant,8,Urile penicillatus,,,201
5100,BRBL,Brewer's Blackbird,"2, 1D",Euphagus cyanocephalus,,,1119
5620,BRSP,Brewer's Sparrow,"0, 1C, 0A, 1",Spizella breweri,,,1036
6412,BRWA,Brewster's Warbler,"0A, 0",,,,929
