species_id,alpha,common,weight_female_min,weight_female_max,weight_male_min,weight_male_min,wing_female_min,wing_female_max,wing_male_min,wing_male_max,tail_female_min,tail_female_max,tail_male_min,tail_male_max
1580,SPEI,Spectacled Eider,0,0,0,0,233,254,238,266,72,85,74,87
1590,COEI,Common Eider,0,0,0,0,254,315,265,320,76,100,81,102
1620,KIEI,King Eider,0,0,0,0,243,279,250,286,75,87,76,89
1630,BLSC,Black Scoter,0,0,0,0,205,231,214,240,65,82,83,99
1650,WWSC,White-winged Scoter,0,0,0,0,246,273,261,289,70,84,74,88
1660,SUSC,Surf Scoter,0,0,0,0,210,235,225,251,66,82,73,90
1670,RUDU,Ruddy Duck,0,0,0,0,129,147,133,152,64,74,68,78
1680,MADU,Masked Duck,0,0,0,0,128,144,131,147,73,86,75,88
1690,LSGO,Lesser Snow Goose,0,0,0,0,377,449,403,461,105,140,112,148
1691,BLGO,Blue Goose,0,0,0,0,377,449,403,461,105,140,112,148
1695,SBGI,Snow X Blue Goose Intergrade,0,0,0,0,377,449,403,461,105,140,112,148
1698,BGSG,Blue Greater Snow Goose,0,0,0,0,397,471,412,479,118,142,125,150
1699,GSGO,Greater Snow Goose,0,0,0,0,397,471,412,479,118,142,125,150
1700,ROGO,Ross's Goose,0,0,0,0,330,380,346,396,105,124,110,131
1703,SRGH,Snow X Ross's Goose Hybrid,0,0,0,0,0,0,0,0,0,0,0,0
1710,GWFG,Greater White-fronted Goose,0,0,0,0,351,450,367,465,101,142,105,146
1711,TABG,Taiga Bean-Goose,0,0,0,0,0,0,0,0,0,0,0,0
1712,PFGO,Pink-footed Goose,0,0,0,0,0,0,0,0,0,0,0,0
1713,LWFG,Lesser White-fronted Goose,0,0,0,0,0,0,0,0,0,0,0,0
1716,OHGO,Other Hybrid Goose,0,0,0,0,0,0,0,0,0,0,0,0
1719,TWFG,Tule White-fronted Goose,0,0,0,0,400,441,426,468,121,144,124,147
1720,CAGO,Canada Goose,0,0,0,0,400,525,422,548,108,166,119,172
1721,ACGO,Aleutian Cackling Goose,0,0,0,0,351,405,362,416,101,125,107,131
1722,MCGO,Minima Cackling Goose,0,0,0,0,335,384,351,400,93,121,99,127
1723,LCGO,Large Canada Goose,0,0,0,0,451,525,478,548,130,177,141,188
1729,SCGO,Small Canada/Cackling Goose,0,0,0,0,357,429,370,436,103,131,110,139
1730,ATBR,Atlantic Brant,0,0,0,0,283,330,300,342,84,101,87,106
1731,BABI,Black X Atlantic Brant Intergrade,0,0,0,0,0,0,0,0,84,101,87,106
1740,BLBR,Black Brant,0,0,0,0,283,330,300,342,84,101,87,106
1750,BRNG,Barnacle Goose,0,0,0,0,0,0,0,0,0,0,0,0
1751,HAGO,Hawaiian Goose,0,0,0,0,0,0,0,0,0,0,0,0
1760,EMGO,Emperor Goose,0,0,0,0,349,390,362,403,97,122,106,131
1770,BBWD,Black-bellied Whistling-Duck,0,0,0,0,231,256,235,260,65,76,65,76
1771,WIWD,West Indian Whistling-Duck,0,0,0,0,0,0,0,0,0,0,0,0
1780,FUWD,Fulvous Whistling-Duck,0,0,0,0,194,222,198,224,42,56,45,59
1782,MUSW,Mute Swan,0,0,0,0,495,593,543,634,187,235,200,248
1790,WHOS,Whooper Swan,0,0,0,0,0,0,0,0,0,0,0,0
1800,WHSW,Whistling Swan,0,0,0,0,467,556,493,574,149,183,155,190
1801,BESW,Bewick's Swan,0,0,0,0,444,544,469,561,126,160,132,166
1810,TRUS,Trumpeter Swan,0,0,0,0,534,649,574,690,164,221,176,234
1820,AMFL,American Flamingo,0,0,0,0,363,458,380,465,120,163,124,175
1830,ROSP,Roseate Spoonbill,0,0,0,0,314,348,327,362,85,106,89,110
1840,WHIB,White Ibis,0,0,0,0,252,286,281,308,89,106,98,120
1850,SCIB,Scarlet Ibis,0,0,0,0,0,0,0,0,0,0,0,0
1860,GLIB,Glossy Ibis,0,0,0,0,245,269,270,302,91,101,99,109
1870,WFIB,White-faced Ibis,0,0,0,0,228,250,256,279,83,96,92,104
1880,WOST,Wood Stork,0,0,0,0,427,465,454,491,137,154,152,164
1900,AMBI,American Bittern,0,0,0,0,229,266,259,298,71,90,84,103
1910,LEBI,Least Bittern,0,0,0,0,107,128,109,131,36,47,37,48
1911,YEBI,Yellow Bittern,0,0,0,0,0,0,0,0,0,0,0,0
1920,GWHE,Great White Heron,0,0,0,0,448,500,462,514,160,186,168,196
1940,GBHE,Great Blue Heron,0,0,0,0,432,483,441,507,159,194,166,203
1960,GREG,Great Egret,0,0,0,0,329,400,346,414,123,155,136,166
1969,PRHE,Pacific Reef Heron,0,0,0,0,0,0,0,0,0,0,0,0
1970,SNEG,Snowy Egret,0,0,0,0,228,273,237,283,80,98,83,103
1980,REEG,Reddish Egret,0,0,0,0,281,324,298,344,91,119,98,127
1990,TRHE,Tricolored Heron,0,0,0,0,226,265,239,279,73,87,78,96
2000,LBHE,Little Blue Heron,0,0,0,0,241,264,251,274,82,99,87,103
2001,CAEG,Cattle Egret,0,0,0,0,226,256,232,263,75,94,79,98
2010,GRHE,Green Heron,0,0,0,0,167,197,174,203,60,75,61,79
2020,BCNH,Black-crowned Night-Heron,0,0,0,0,283,309,288,314,108,124,111,129
2030,YCNH,Yellow-crowned Night-Heron,0,0,0,0,271,303,279,309,100,118,102,121
2040,WHCR,Whooping Crane,0,0,0,0,540,630,555,645,195,238,202,246
2060,SACR,Sandhill Crane,0,0,0,0,421,554,443,573,154,191,157,199
2061,MSCR,Mississippi Sandhill Crane,0,0,0,0,455,491,488,526,167,191,184,204
2070,LIMP,Limpkin,0,0,0,0,298,320,311,337,124,143,130,153
2080,KIRA,King Rail,0,0,0,0,149,166,158,175,57,70,59,73
2110,CLRA,Clapper Rail,0,0,0,0,127,152,135,160,53,67,57,71
2111,CRRA,California Ridgway's Rail,0,0,0,0,133,159,143,169,55,74,59,79
2120,VIRA,Virginia Rail,68,114,68,114,93,107,99,113,35,48,38,52
2131,YBCR,Yellow-breasted Crake,0,0,0,0,0,0,0,0,0,0,0,0
2140,SORA,Sora,53,84,53,84,96,109,101,115,38,49,42,54
2150,YERA,Yellow Rail,0,0,0,0,78,89,80,92,28,36,29,37
2160,BLRA,Black Rail,0,0,0,0,63,79,64,80,28,37,28,38
2161,BBRA,Buff-banded Rail,0,0,0,0,0,0,0,0,0,0,0,0
2180,PUGA,Purple Gallinule,0,0,0,0,160,181,163,185,60,77,61,78
2181,PUSW,Purple Swamphen,0,0,0,0,0,0,0,0,0,0,0,0
2190,COGA,Common Gallinule,0,0,0,0,157,171,167,182,60,71,66,78
2191,HAGA,Hawaiian Gallinule,0,0,0,0,0,0,0,0,0,0,0,0
2192,MCMO,Mariana Common Moorhen,0,0,0,0,0,0,0,0,0,0,0,0
2201,HACO,Hawaiian Coot,0,0,0,0,0,0,0,0,0,0,0,0
2210,AMCO,American Coot,0,0,0,0,162,192,176,204,45,56,47,59
2211,CARC,Caribbean Coot,0,0,0,0,0,0,0,0,0,0,0,0
2220,REPH,Red Phalarope,0,0,0,0,128,139,119,131,61,72,58,68
2230,RNPH,Red-necked Phalarope,0,0,0,0,105,117,101,112,46,54,44,52
2240,WIPH,Wilson's Phalarope,0,0,0,0,126,138,115,126,53,60,47,54
2250,AMAV,American Avocet,0,0,0,0,211,239,215,243,76,92,87,104
2260,BNST,Black-necked Stilt,0,0,0,0,206,229,215,239,64,74,67,78
2261,HAST,Hawaiian Stilt,0,0,0,0,0,0,0,0,0,0,0,0
2270,EUWO,Eurasian Woodcock,0,0,0,0,0,0,0,0,0,0,0,0
2280,AMWO,American Woodcock,128,233,105,186,129,142,118,129,58,66,55,63
2290,COSN,Common Snipe,0,0,0,0,0,0,0,0,0,0,0,0
2300,WISN,Wilson's Snipe,90,126,90,126,118,133,120,135,50,59,53,61
2301,PTSN,Pin-tailed Snipe,0,0,0,0,0,0,0,0,0,0,0,0
2302,SWSN,Swinhoe's Snipe,0,0,0,0,0,0,0,0,0,0,0,0
2310,SBDO,Short-billed Dowitcher,60,140,60,140,134,156,132,153,52,61,50,59
2320,LBDO,Long-billed Dowitcher,0,0,0,0,137,152,133,147,53,61,51,59
2330,STSA,Stilt Sandpiper,0,0,0,0,125,139,122,135,45,53,44,52
2340,REKN,Red Knot,0,0,0,0,152,175,148,170,61,70,59,68
2341,RRKN,Rufa Red Knot,0,0,0,0,152,175,148,170,61,70,59,68
2350,PUSA,Purple Sandpiper,0,0,0,0,121,137,117,133,50,61,49,60
2360,ROSA,Rock Sandpiper,0,0,0,0,113,140,111,135,47,65,46,63
2380,SHAS,Sharp-tailed Sandpiper,0,0,0,0,119,132,128,140,48,58,51,62
2390,PESA,Pectoral Sandpiper,0,0,0,0,123,131,135,146,51,60,57,67
2400,WRSA,White-rumped Sandpiper,0,0,0,0,117,126,115,124,47,55,46,54
2410,BASA,Baird's Sandpiper,30,53,30,53,117,127,114,124,47,54,45,52
2420,LESA,Least Sandpiper,19,31,15,42,84,94,81,90,34,42,33,41
2422,RNST,Red-necked Stint,0,0,0,0,97,105,93,102,39,49,38,48
2423,LTST,Long-toed Stint,0,0,0,0,0,0,0,0,0,0,0,0
2430,DUNL,Dunlin,40,72,40,72,106,128,102,125,45,56,41,55
2440,CUSA,Curlew Sandpiper,0,0,0,0,121,130,119,128,42,52,41,51
2450,SPOS,Spoon-billed Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0
2460,SESA,Semipalmated Sandpiper,17,39,17,39,92,102,89,99,36,45,35,44
2470,WESA,Western Sandpiper,0,0,0,0,93,102,90,99,38,46,37,45
2480,SAND,Sanderling,39,87,39,87,117,129,113,125,46,57,44,54
