number,alpha,common,scientific,taxonomic_order
2550,LEYE,Lesser Yellowlegs,Tringa flavipes,325
2560,SOSA,Solitary Sandpiper,Tringa solitaria,319
2561,WOSA,Wood Sandpiper,Tringa glareola,327
2562,MASA,Marsh Sandpiper,Tringa stagnatilis,326
2580,WILL,Willet,Tringa semipalmata,324
2590,WATA,Wandering Tattler,Tringa incana,321
2591,GTTA,Gray-tailed Tattler,Tringa brevipes,320
2600,RUFF,Ruff,Calidris pugnax,341
2610,UPSA,Upland Sandpiper,Bartramia longicauda,328
2620,BBSA,Buff-breasted Sandpiper,Calidris subruficollis,356
2630,SPSA,Spotted Sandpiper,Actitis macularius,318
2631,COSA,Common Sandpiper,Actitis hypoleucos,317
2640,LBCU,Long-billed Curlew,Numenius americanus,331
2650,WHIM,Whimbrel,Numenius phaeopus,329
2680,BTCU,Bristle-thighed Curlew,Numenius tahitiensis,330
2690,NOLA,Northern Lapwing,Vanellus vanellus,298
2691,EUDO,Eurasian Dotterel,Charadrius morinellus,313
2700,BBPL,Black-bellied Plover,Pluvialis squatarola,299
2710,EUGP,European Golden-Plover,Pluvialis apricaria,300
2720,AMGP,American Golden-Plover,Pluvialis dominica,301
2721,PAGP,Pacific Golden-Plover,Pluvialis fulva,302
2729,LEGP,Lesser Golden-Plover,,303
2730,KILL,Killdeer,Charadrius vociferus,311
2740,SEPL,Semipalmated Plover,Charadrius semipalmatus,309
2750,CRPL,Common Ringed Plover,Charadrius hiaticula,308
2790,LRSP,Lesser Sand-Plover,Charadrius mongolus,304
2800,WIPL,Wilson's Plover,Charadrius wilsonia,307
2810,MOPL,Mountain Plover *,Charadrius montanus,312
2820,SURF,Surfbird,Calidris virgata,340
2830,RUTU,Ruddy Turnstone,Arenaria interpres,336
2840,BLTU,Black Turnstone,Arenaria melanocephala,337
2860,AMOY,American Oystercatcher,Haematopus palliatus,296
2870,BLOY,Black Oystercatcher,Haematopus bachmani,297
2880,NOJA,Northern Jacana,Jacana spinosa,316
3120,BTPI,Band-tailed Pigeon,Patagioenas fasciata,470
3130,RBPI,Red-billed Pigeon,Patagioenas flavirostris,467
3140,WCPI,White-crowned Pigeon,Patagioenas leucocephala,466
3141,SNPI,Scaly-naped Pigeon,Patagioenas squamosa,465
3151,SPDO,Spotted Dove,Streptopelia chinensis,474
3152,AFCD,African Collared-Dove,Streptopelia roseogrisea,472
3153,ZEBD,Zebra Dove,Geopelia striata,475
3154,WTGD,White-throated Ground Dove,Pampusana xanthonura,480
3155,MAFD,Mariana Fruit Dove,Ptilinopus roseicapilla,484
3158,PHTD,Philippine Turtle-Dove,Streptopelia bitorquata,471
3159,ECDO,Eurasian Collared-Dove,Streptopelia decaocto,473
3160,MODO,Mourning Dove,Zenaida macroura,493
3161,EADO,Eared Dove,Zenaida auriculata,492
3170,ZEND,Zenaida Dove,Zenaida aurita,491
3180,WTDO,White-tipped Dove,Leptotila verreauxi,488
3181,CADO,Caribbean Dove,Leptotila jamaicensis,489
3190,WWDO,White-winged Dove,Zenaida asiatica,490
3200,COGD,Common Ground Dove,Columbina passerina,477
3201,RUGD,Ruddy Ground Dove,Columbina talpacoti,478
3210,INDO,Inca Dove,Columbina inca,476
3220,KWQD,Key West Quail-Dove,Geotrygon chrysia,486
3221,RUQD,Ruddy Quail-Dove,Geotrygon montana,479
3222,BRQD,Bridled Quail-Dove,Geotrygon mystacea,487
3250,TUVU,Turkey Vulture,Cathartes aura,234
3260,BLVU,Black Vulture,Coragyps atratus,233
3270,STKI,Swallow-tailed Kite,Elanoides forficatus,238
3271,HBKI,Hook-billed Kite,Chondrohierax uncinatus,237
3280,WTKI,White-tailed Kite,Elanus leucurus,239
3290,MIKI,Mississippi Kite,Ictinia mississippiensis,241
3310,NOHA,Northern Harrier,Circus hudsonius,243
3320,SSHA,Sharp-shinned Hawk,Accipiter striatus,244
3330,COHA,Cooper's Hawk,Accipiter cooperii,246
3340,UNGO,Unspecified Northern Goshawk *,,247
3341,AGOS,American Goshawk *,Accipiter atricapillus,248
3350,HRSH,Harris's Hawk,Parabuteo unicinctus,250
3370,RTHA,Red-tailed Hawk,Buteo jamaicensis,261
3380,HRLH,Harlan's Hawk,Buteo jamaicensis harlani,262
3390,RSHA,Red-shouldered Hawk,Buteo lineatus,252
3400,ZTHA,Zone-tailed Hawk,Buteo albonotatus,259
3410,WTHA,White-tailed Hawk,Geranoaetus albicaudatus,258
3420,SWHA,Swainson's Hawk,Buteo swainsoni,257
3430,BWHA,Broad-winged Hawk,Buteo platypterus,253
3431,ROHA,Roadside Hawk,Rupornis magnirostris,251
3440,STHA,Short-tailed Hawk,Buteo brachyurus,256
3450,CBHA,Common Black Hawk,Buteogallus anthracinus,249
3460,GRHA,Gray Hawk,Buteo plagiatus,255
3470,RLHA,Rough-legged Hawk,Buteo lagopus,264
3480,FEHA,Ferruginous Hawk *,Buteo regalis,263
3490,GOEA,Golden Eagle,Aquila chrysaetos,265
3520,BAEA,Bald Eagle,Haliaeetus leucocephalus,242
